,p-value
Id,0.927664303
Dwell_Type,5.58E-08
Zone_Class,3.54E-25
LotFrontage,9.74E-31
LotArea,2.29E-53
Road_Type,0.076648796
Property_Shape,4.08E-32
LandContour,2.09E-12
Utilities,0.288151956
LotConfig,9.39E-05
LandSlope,0.120331011
Neighborhood,1.40E-18
Condition1,2.14E-12
Condition2,0.007706426
Dwelling_Type,3.11E-17
HouseStyle,2.33E-14
OverallQual,5.48E-137
OverallCond,8.04E-27
YearBuilt,3.07E-93
AgeOfHouse,3.07E-93
YearRemodAdd,2.68E-109
RoofStyle,2.91E-16
RoofMatl,5.45E-06
Exterior1st,6.61E-56
Exterior2nd,3.68E-53
MasVnrType,1.63E-62
MasVnrArea,1.59E-89
ExterQual,5.01E-238
ExterCond,3.30E-06
Foundation,2.82E-129
BsmtQual,1.33E-122
BsmtCond,1.18E-13
BsmtExposure,4.06E-33
BsmtFinType1,1.78E-85
BsmtFinSF1,1.97E-56
BsmtFinType2,0.011517832
BsmtFinSF2,0.364785174
BsmtUnfSF,3.45E-23
TotalBsmtSF,5.98E-203
Heating,2.30E-07
HeatingQC,4.61E-92
CentralAir,7.97E-29
Electrical,6.22E-24
1stFlrSF,3.72E-160
2ndFlrSF,7.37E-42
TotalSF,3.36E-288
LowQualFinSF,0.000662509
GrLivArea,2.60E-256
BsmtFullBath,6.17E-21
BsmtHalfBath,0.235037206
FullBath,3.72E-150
HalfBath,4.37E-39
TotalBath,2.02E-145
BedroomAbvGr,4.32E-16
KitchenAbvGr,8.61E-10
KitchenQual,4.62E-148
TotRmsAbvGrd,2.88E-89
Functional,4.23E-06
Fireplaces,5.09E-112
GarageType,1.63E-68
GarageYrBlt,1.55E-72
GarageFinish,7.56E-158
GarageCars,2.50E-249
GarageArea,1.24E-204
GarageQual,7.13E-10
GarageCond,1.89E-09
PavedDrive,7.02E-20
WoodDeckSF,2.49E-39
OpenPorchSF,4.98E-72
EnclosedPorch,5.92E-06
3SsnPorch,0.011303838
ScreenPorch,0.000464631
PoolArea,0.515383977
MiscVal,0.602538479
MoSold,0.008860919
YrSold,0.932498304
SaleType,1.45E-37
SaleCondition,7.36E-42
